board,letter_pool,minimum_words,total_solution_count,sample_solution_number,sample_words
1,SIDIAWAPM,3,6,1,AID | PAW | SIM
1,SIDIAWAPM,3,6,2,AIM | DIP | SAW
1,SIDIAWAPM,3,6,3,AIM | DIP | WAS
1,SIDIAWAPM,3,6,4,AIM | DIS | PAW
1,SIDIAWAPM,3,6,5,AIM | SIP | WAD
2,HHGUZATPO,2,5,1,GOT | HUH | ZAP
2,HHGUZATPO,2,5,2,HOG | HUT | ZAP
2,HHGUZATPO,2,5,3,HOT | HUG | ZAP
2,HHGUZATPO,2,5,4,HOT | UGH | ZAP
2,HHGUZATPO,2,5,5,ZAP | THOUGH
3,EMAHHVNEA,2,2,1,HAM | HEAVEN
3,EMAHHVNEA,2,2,2,AHEM | HAVEN
4,XJWAHIEMNUKJEAVN,4,28,1,EVE | HAM | JAW | NIX | JUNK
4,XJWAHIEMNUKJEAVN,4,28,2,EVE | JAM | JAW | NIX | HUNK
4,XJWAHIEMNUKJEAVN,4,28,3,HAM | JINX | JUNK | WEAVE
4,XJWAHIEMNUKJEAVN,4,28,4,HEN | JAM | VIE | WAX | JUNK
4,XJWAHIEMNUKJEAVN,4,28,5,HEN | JAW | MAX | VIE | JUNK
4,XJWAHIEMNUKJEAVN,4,28,6,HEX | JAM | NEW | VIA | JUNK
4,XJWAHIEMNUKJEAVN,4,28,7,HEX | JAM | VIA | WEN | JUNK
4,XJWAHIEMNUKJEAVN,4,28,8,HEX | JAM | VIE | WAN | JUNK
5,EVALPYJJEHOZYESO,4,22,1,JAY | JEEZ | LEVY | HOOPS
5,EVALPYJJEHOZYESO,4,22,2,JAY | JEEZ | PLOY | SHOVE
5,EVALPYJJEHOZYESO,4,22,3,JOY | PAY | JEEZ | SHOVEL
5,EVALPYJJEHOZYESO,4,22,4,JOY | YAP | JEEZ | SHOVEL
5,EVALPYJJEHOZYESO,4,22,5,JOY | JEEP | LAZY | SHOVE
5,EVALPYJJEHOZYESO,4,22,6,JOY | JEEZ | PLAY | SHOVE
5,EVALPYJJEHOZYESO,4,22,7,JOY | JEEZ | PLOY | SHAVE
5,EVALPYJJEHOZYESO,4,22,8,JOY | JEEZ | SLOP | HEAVY
6,WVCXIEAVCMEALAIV,4,13,1,AWE | MAX | CIVIC | VALVE
6,WVCXIEAVCMEALAIV,4,13,2,LAX | VIEW | VIVA | MECCA
6,WVCXIEAVCMEALAIV,4,13,3,MAX | CAVE | WAVE | CIVIL
6,WVCXIEAVCMEALAIV,4,13,4,MAX | VALE | WAVE | CIVIC
6,WVCXIEAVCMEALAIV,4,13,5,MAX | VEAL | WAVE | CIVIC
6,WVCXIEAVCMEALAIV,4,13,6,WAX | EVIL | VIVA | MECCA
6,WVCXIEAVCMEALAIV,4,13,7,WAX | LIVE | VIVA | MECCA
6,WVCXIEAVCMEALAIV,4,13,8,WAX | VEIL | VIVA | MECCA
7,IVSGRLEOZIEEVEYV,4,15,1,EVE | IVY | LOG | REV | SIZE
7,IVSGRLEOZIEEVEYV,4,15,2,EVE | IVY | SIZE | GROVEL
7,IVSGRLEOZIEEVEYV,4,15,3,IVY | REV | GLOVE | SEIZE
7,IVSGRLEOZIEEVEYV,4,15,4,IVY | EVER | SIZE | GLOVE
7,IVSGRLEOZIEEVEYV,4,15,5,IVY | GIVE | ZERO | ELVES
