# SUBTLEX-US word frequencies (Brysbaert & New 2009; Zipf scale per Van Heuven et al. 2014)
# word	zipf	dominant_part_of_speech
you	7.621	Pronoun
the	7.468	Article
that	7.149	Determiner
and	7.126	Conjunction
what	6.993	Determiner
this	6.901	Determiner
for	6.838	Preposition
your	6.809	Pronoun
don	6.798	Name
have	6.789	Verb
know	6.757	Verb
was	6.752	Verb
not	6.734	Not
can	6.719	Verb
are	6.716	Verb
all	6.712	Determiner
with	6.703	Preposition
just	6.676	Adverb
get	6.661	Verb
here	6.655	Adverb
but	6.645	Conjunction
there	6.638	Ex
they	6.613	Pronoun
right	6.602	Adverb
like	6.601	Preposition
out	6.587	Adverb
she	6.571	Pronoun
about	6.559	Preposition
him	6.542	Pronoun
got	6.519	Verb
now	6.505	Adverb
come	6.496	Verb
one	6.487	Number
how	6.485	Adverb
well	6.475	Adverb
yeah	6.474	Interjection
her	6.452	Pronoun
want	6.44	Verb
think	6.429	Verb
good	6.416	Adjective
see	6.407	Verb
let	6.383	Verb
did	6.369	Verb
why	6.351	Adverb
who	6.346	Pronoun
his	6.327	Pronoun
going	6.326	Verb
will	6.326	Verb
from	6.309	Preposition
when	6.308	Conjunction
back	6.302	Adverb
okay	6.302	Adverb
gonna	6.3	#N/A
yes	6.3	Interjection
time	6.291	Noun
look	6.289	Verb
take	6.276	Verb
man	6.266	Noun
where	6.262	Adverb
them	6.25	Pronoun
would	6.247	Verb
been	6.239	Verb
hey	6.237	Interjection
some	6.237	Determiner
tell	6.236	Verb
had	6.224	Verb
were	6.22	Verb
say	6.214	Verb
could	6.211	Verb
didn	6.198	Verb
really	6.176	Adverb
down	6.173	Adverb
then	6.172	Adverb
little	6.16	Adjective
way	6.153	Noun
our	6.146	Pronoun
make	6.142	Verb
too	6.137	Adverb
never	6.134	Adverb
over	6.121	Adverb
more	6.113	Determiner
need	6.112	Verb
mean	6.094	Verb
very	6.093	Adverb
off	6.071	Adverb
give	6.067	Verb
sorry	6.067	Adjective
has	6.054	Verb
love	6.047	Verb
thank	6.047	Verb
said	6.044	Verb
people	6.042	Noun
any	6.041	Determiner
please	6.041	Adverb
sure	6.041	Adjective
thing	6.036	Noun
only	6.034	Adverb
because	6.029	Conjunction
two	6.027	Number
should	6.026	Verb
doing	6.012	Verb
much	5.988	Determiner
sir	5.984	Noun
maybe	5.966	Adverb
help	5.964	Verb
anything	5.957	Pronoun
these	5.956	Determiner
god	5.955	Name
even	5.942	Adverb
night	5.937	Noun
call	5.935	Verb
nothing	5.931	Pronoun
talk	5.931	Verb
